id,symbol,status,timestamp_created,buy_order_price,buy_order_status,sell_order_price,sell_order_status,buy_size_quote,buy_size_base,sell_size_quote,sell_size_base,psar_timeframe,max_number_of_trades_for_period,max_number_of_trades_period,buy_order_fill_timestamp,buy_order_fee,sell_order_fill_timestamp,sell_order_fee,side,gross_pnl,net_pnl
0,btcusdt,closed,2022-04-01 00:00:00.002871,45509.8848966,filled,45510.7951034,filled,12,0.00026367897935282425,12.00012,0.00026367634256303075,5min,100,7d,2022-04-01 00:00:03.709716,0.0012000000000000001,2022-04-01 00:00:15.342639,0.001200012,long,0.00012000000000078614,-0.002280011999999214
1,btcusdt,closed,2022-04-01 00:00:00.002895,45509.8948965,filled,45510.8051035,filled,12,0.00026367892141457956,12.00012,0.00026367628462536545,5min,100,7d,2022-04-01 00:00:03.709716,0.0012000000000000001,2022-04-01 00:00:15.342639,0.001200012,long,0.00012000000000078614,-0.002280011999999214
2,btcusdt,closed,2022-04-01 00:00:00.002895,45509.8948965,filled,45510.8051035,filled,12,0.00026367892141457956,12.00012,0.00026367628462536545,5min,100,7d,2022-04-01 00:00:03.709716,0.0012000000000000001,2022-04-01 00:00:15.342639,0.001200012,long,0.00012000000000078614,-0.002280011999999214
3,btcusdt,closed,2022-04-01 00:00:00.002896,45509.8848966,filled,45510.7951034,filled,12,0.00026367897935282425,12.00012,0.00026367634256303075,5min,100,7d,2022-04-01 00:00:03.709716,0.0012000000000000001,2022-04-01 00:00:15.342639,0.001200012,long,0.00012000000000078614,-0.002280011999999214
4,btcusdt,closed,2022-04-01 00:00:00.007951,45509.8848966,filled,45510.7951034,filled,12,0.00026367897935282425,12.00012,0.00026367634256303075,5min,100,7d,2022-04-01 00:00:03.709716,0.0012000000000000001,2022-04-01 00:00:15.342639,0.001200012,long,0.00012000000000078614,-0.002280011999999214
5,btcusdt,closed,2022-04-01 00:00:00.013354,45509.8948965,filled,45510.8051035,filled,12,0.00026367892141457956,12.00012,0.00026367628462536545,5min,100,7d,2022-04-01 00:00:03.709716,0.0012000000000000001,2022-04-01 00:00:15.342639,0.001200012,long,0.00012000000000078614,-0.002280011999999214
6,btcusdt,closed,2022-04-01 00:00:00.013355,45509.8848966,filled,45510.7951034,filled,12,0.00026367897935282425,12.00012,0.00026367634256303075,5min,100,7d,2022-04-01 00:00:03.709716,0.0012000000000000001,2022-04-01 00:00:15.342639,0.001200012,long,0.00012000000000078614,-0.002280011999999214
7,btcusdt,closed,2022-04-01 00:00:00.013356,45509.8948965,filled,45510.8051035,filled,12,0.00026367892141457956,12.00012,0.00026367628462536545,5min,100,7d,2022-04-01 00:00:03.709716,0.0012000000000000001,2022-04-01 00:00:15.342639,0.001200012,long,0.00012000000000078614,-0.002280011999999214
8,btcusdt,closed,2022-04-01 00:00:00.013633,45509.8848966,filled,45510.7951034,filled,12,0.00026367897935282425,12.00012,0.00026367634256303075,5min,100,7d,2022-04-01 00:00:03.709716,0.0012000000000000001,2022-04-01 00:00:15.342639,0.001200012,long,0.00012000000000078614,-0.002280011999999214
9,btcusdt,closed,2022-04-01 00:00:00.013660,45509.8948965,filled,45510.8051035,filled,12,0.00026367892141457956,12.00012,0.00026367628462536545,5min,100,7d,2022-04-01 00:00:03.709716,0.0012000000000000001,2022-04-01 00:00:15.342639,0.001200012,long,0.00012000000000078614,-0.002280011999999214
